ID,Name,Glottocode,ISO639P3code,Latitude,Longitude,Macroarea,Family,Subfamily,Country,EA_Countries,Speaker_Population,Endangerment,Source_Name,Comment
lexome_haaa-tz,Ha,haaa1252,haq,-3.77873,30.4894,Africa,Atlantic-Congo,Rundic,Burundi,BI|TZ,,not_endangered,Glottolog 5.2,
lexome_hang-tz,Hangaza,hang1260,han,-2.52347,30.7074,Africa,Atlantic-Congo,Hangaza-Shubi,Burundi,BI|TZ,,not_endangered,Glottolog 5.2,
lexome_kiny-rw,Kinyarwanda,kiny1244,kin,-1.56771,29.6441,Africa,Atlantic-Congo,West Highlands Kivu,Burundi,BI|RW|TZ|UG,,not_endangered,Glottolog 5.2,
lexome_rund-bi,Rundi,rund1242,run,-2.94,29.97,Africa,Atlantic-Congo,Rundic,Burundi,BI|RW|TZ|UG,,not_endangered,Glottolog 5.2,
lexome_shub-tz,Shubi,shub1238,suj,-2.97663,31.0681,Africa,Atlantic-Congo,Hangaza-Shubi,Burundi,BI|TZ,,not_endangered,Glottolog 5.2,
lexome_kuna-er,Kunama,kuna1268,kun,14.5879,37.5292,Africa,(isolate/unclassified),,Eritrea,ER|ET|SD,,threatened,Glottolog 5.2,
lexome_nara-er,Nara,nara1262,nrb,15.3251,37.499,Africa,(isolate/unclassified),,Eritrea,ER,,threatened,Glottolog 5.2,
lexome_afar-et,Afar,afar1241,aar,12.2281,41.8083,Africa,Afro-Asiatic,Saho-Afar,Eritrea,ER|ET,,not_endangered,Glottolog 5.2,
lexome_beja-sd,Beja,beja1238,bej,17.2436,36.6666,Africa,Afro-Asiatic,Cushitic,Eritrea,ER|SD,,threatened,Glottolog 5.2,
lexome_biln-er,Bilin,bili1260,byn,15.7833,38.3917,Africa,Afro-Asiatic,Northeastern Agaw,Eritrea,ER,,threatened,Glottolog 5.2,
lexome_daha-er,Dahalik,daha1247,dlk,15.732898,40.081897,Africa,Afro-Asiatic,Tigre-Dahalik,Eritrea,ER,,nearly_extinct,Glottolog 5.2,
lexome_geez-et,Geez,geez1241,gez,10.1342,40.6821,Africa,Afro-Asiatic,Ethiosemitic,Eritrea,ER|ET,,moribund,Glottolog 5.2,
lexome_qima-et,Qimant,qima1242,ahg,12.8119,37.0542,Africa,Afro-Asiatic,Northern-Eastern-Western Agaw,Eritrea,ER|ET,,moribund,Glottolog 5.2,
lexome_saho-er,Saho,saho1246,ssy,14.75,39.75,Africa,Afro-Asiatic,Saho-Afar,Eritrea,ER|ET,,threatened,Glottolog 5.2,
lexome_stan-sd,Standard Arabic,stan1318,arb,27.9625,43.8525,Africa,Afro-Asiatic,Arabic,Eritrea,ER|SD|SO|TZ,,not_endangered,Glottolog 5.2,
lexome_arab-sd,Sudanese Arabic,suda1236,apd,17.8021,33.3179,Africa,Afro-Asiatic,East Sudanic Arabic,Eritrea,ER|ET|SD,,not_endangered,Glottolog 5.2,
lexome_tgre-er,Tigre,tigr1270,tig,17.3494,38.2233,Africa,Afro-Asiatic,Tigre-Dahalik,Eritrea,ER|SD,,not_endangered,Glottolog 5.2,
lexome_tgri-er,Tigrinya,tigr1271,tir,15.3359,38.9266,Africa,Afro-Asiatic,Ethiosemitic,Eritrea,ER|ET|SD,,not_endangered,Glottolog 5.2,
lexome_bert-et,Berta,bert1248,wti,10.6474,34.7042,Africa,(isolate/unclassified),,Ethiopia,ET|SD,,threatened,Glottolog 5.2,
lexome_ongo-et,Ongota,bira1253,bxe,5.29807,37.025,Africa,(isolate/unclassified),,Ethiopia,ET,,nearly_extinct,Glottolog 5.2,
lexome_shab-et,Shabo,shab1252,sbf,7.64407,35.223,Africa,(isolate/unclassified),,Ethiopia,ET,,moribund,Glottolog 5.2,
lexome_alab-et,Alaba-K'abeena,alab1254,alw,7.39014,38.1732,Africa,Afro-Asiatic,Kambaataic,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_gaww-et,Ale-Gawwada,gaww1239,gwd,5.37869,37.2737,Africa,Afro-Asiatic,Dullay,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_amha-et,Amharic,amha1245,amh,11.708182,39.543456,Africa,Afro-Asiatic,Amharic-Argobba,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_arbo-et,Arbore,arbo1245,arv,4.92183,36.7986,Africa,Afro-Asiatic,Western Omo-Tana,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_argo-et,Argobba,argo1244,agj,10.6596,39.756,Africa,Afro-Asiatic,Amharic-Argobba,Ethiopia,ET,,shifting,Glottolog 5.2,
lexome_awng-et,Awngi,awng1244,awn,10.9819,36.6916,Africa,Afro-Asiatic,Agaw,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_bais-et,Baiso,bais1246,bsw,6.44892,37.7681,Africa,Afro-Asiatic,Baiso-Jiiddu,Ethiopia,ET,,moribund,Glottolog 5.2,
lexome_bora-ke,Borana-Arsi-Guji Oromo,bora1271,gax,1.05676,37.882,Africa,Afro-Asiatic,Central-Tana Oromo,Ethiopia,ET|KE|SO,,not_endangered,Glottolog 5.2,
lexome_burj-et,Burji,burj1242,bji,4.44624,38.4646,Africa,Afro-Asiatic,Highland East Cushitic,Ethiopia,ET|KE,,threatened,Glottolog 5.2,
lexome_buss-et,Bussa,buss1239,dox,5.74987,37.2017,Africa,Afro-Asiatic,Gidole-Bussa,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_daas-et,Daasanach,daas1238,dsh,4.58879,35.9888,Africa,Afro-Asiatic,Western Omo-Tana,Ethiopia,ET|KE|SS,,threatened,Glottolog 5.2,
lexome_dira-et,Dirasha,dira1242,gdl,5.60452,37.4026,Africa,Afro-Asiatic,Gidole-Bussa,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_eorm-et,Eastern Oromo,east2652,hae,8.67428,41.4395,Africa,Afro-Asiatic,Central-Eastern Oromo,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_gafa-et,Gafat,gafa1240,gft,10.11067,38.18108,Africa,Afro-Asiatic,N-Group,Ethiopia,ET,,nearly_extinct,Glottolog 5.2,
lexome_gede-et,Gedeo,gede1246,drs,6.18469,38.2395,Africa,Afro-Asiatic,Sidaama-Gedeo,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_giri-et,Girirra,giri1245,gii,5.76,42.17,Africa,Afro-Asiatic,Eastern Omo-Tana,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_hady-et,Hadiyya,hadi1240,hdy,7.57377,37.7577,Africa,Afro-Asiatic,Hadiyyaic,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_hara-et,Harari,hara1271,har,9.30485,42.1332,Africa,Afro-Asiatic,Harari-East Gurage,Ethiopia,ET,,shifting,Glottolog 5.2,
lexome_inor-et,Inoric,inor1238,ior,7.94883,37.7968,Africa,Afro-Asiatic,Peripheral Western Gurage,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_kamb-et,Kambaata,kamb1316,ktb,7.37582,37.9088,Africa,Afro-Asiatic,Kambaataic,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_kist-et,Kistane,kist1241,gru,8.33561,38.4763,Africa,Afro-Asiatic,N-Group,Ethiopia,ET,,threatened,Glottolog 5.2,
lexome_kons-et,Konso,kons1243,kxc,5.39111,37.53,Africa,Afro-Asiatic,Konsoid,Ethiopia,ET,,not_endangered,Glottolog 5.2,
lexome_libd-et,Libido,libi1250,liq,8.09761,38.4997,Africa,Afro-Asiatic,Hadiyyaic,Ethiopia,ET,,threatened,Glottolog 5.2,
