Ortho_ID,Name,Language_Family,Region,Era,Colonial_Power,Script,Tonal_Marking,Key_Features,IPA_Notes,Reference,Comment
IPA,International Phonetic Alphabet,Any,Global,1888–present,,Latin,diacritics,Canonical standard,Reference system,,
FR-COL,French Colonial Orthography,Various,Francophone Africa,1880–1960,France,Latin,none/diacritics,ou=u; é=e; gn=ɲ; tch=tʃ,"ou→/u/, é→/e/, ou→/u/",,
EN-COL,British Colonial Orthography,Various,Anglophone Africa,1880–1960,United Kingdom,Latin,digits/diacritics,ng=ŋ; sh=ʃ; ch=tʃ; gh=ɣ,"ng→/ŋ/, sh→/ʃ/",,
DE-COL,German Colonial Orthography (Meinhof),Bantu,East/South Africa,1890–1920,Germany,Latin,superscript,Meinhof tonal superscripts; dj=dʒ,See Meinhof 1899,Meinhof1899,
MEINHOF,Meinhof Bantu Orthography,Bantu,Pan-Bantu,1899–1950,Germany,Latin,superscript,Systematic Bantu comparative conventions,See Meinhof 1899; used in many early Bantu wordlists,Meinhof1899,
IAI,International African Institute Orthography,Various,Pan-Africa,1930–1970,,Latin,diacritics,IPA-based practical orthography,"Close to IPA; ŋ, ɲ, ɓ, ɗ used",Westermann1930,
ARABAJAM,Arabic-based Ajami Orthography,Hausa; Fulani,West Africa,14th c.–present,,Arabic,harakat/none,Hausa phonemes adapted to Arabic script,Requires Ajami-IPA mapping table,,
NKOO,N'Ko Script,Manding,West Africa,1949–present,,N'Ko,diacritics,Right-to-left; tonal diacritics,N'Ko→IPA tables in Vydrine 2012,Vydrine2012,
ETHIOPIC,Ge'ez / Ethiopic Fidel,Semitic; Cushitic,Horn of Africa,4th c.–present,,Ethiopic,inherent vowel,Abugida; CV syllables; 7 vowel orders,Each Ethiopic char = C+V; map via Unicode tables,,
TIFINAGH,Tifinagh Script,Berber/Amazigh,North Africa,ancient–present,,Tifinagh,none (abjad),Consonantal; modern IRCAM adds vowels,IRCAM standard has IPA equivalents,,
HAUSA-STA,Standard Hausa Orthography (Boko),Hausa,Nigeria; Niger,1930–present,,Latin,none,"Hooks for implosives: ɓ=ƃ, ɗ=ƌ, k=ƙ; tones unmarked",Implosive hooks→IPA implosives; tones must be checked against source,,
SWAHILI-STA,Standard Swahili Orthography,Bantu,East Africa,1930–present,,Latin,none,Near-phonemic; ng'=ŋ; ch=tʃ; dh=ð,Mostly transparent to IPA,,
YORUBA-STA,Standard Yoruba Orthography,Yoruboid,Nigeria; Benin,1875–present,,Latin,diacritics,Subscript dot for open vowels; acute/grave for tones,"Dotted vowels→open mid; acute=H, grave=L, unmarked=M",,
ZULU-STA,Standard Zulu/Nguni Orthography,Nguni Bantu,South Africa,1850–present,,Latin,none,"Click letters: c=dental, q=palatal, x=lateral",Click letters map to IPA clicks,,
LINGALA-STA,Standard Lingala Orthography,Bantu,DRC; Congo,1900–present,,Latin,none,Tones largely unmarked in most sources,Check source for tonal information,,
FULA-ADL,Fula (Fulfulde) Adlam Script,Fulani,West Africa,1989–present,,Adlam,diacritics,Purpose-built for Fula phonology,Adlam→IPA table in Unicode Adlam block docs,,
SOMALI-STA,Standard Somali Orthography,Cushitic,Horn of Africa,1972–present,,Latin,none,x=χ; c=ʕ; dh=ð; kh=x; q=q (uvular),Digraph conventions documented in Saeed 1999,Saeed1999,
CUSTOM,Custom/Unclassified Orthography,,,,,,,Use when source orthography does not match any registered system,Document conventions in Comment column,,Describe fully in Comment
