ID,Name,CAWL_ID,Source,Tier,Concepticon_ID,Concepticon_Gloss,Semantic_Field,Part_Of_Speech,Swadesh_100,Swadesh_207,LJ_100,Comment
param-CAWL-0001,body,0001,CAWL,core,,,,,,,,
param-CAWL-0002,skin (of man),0002,CAWL,core,,,,,x,x,x,
param-CAWL-0003,head,0003,CAWL,core,,,,,x,x,,
param-CAWL-0004,forehead,0004,CAWL,core,,,,,,,,
param-CAWL-0005,face,0005,CAWL,core,,,,,,,,
param-CAWL-0006,eye,0006,CAWL,core,,,,,x,x,,
param-CAWL-0007,eyebrow,0007,CAWL,core,,,,,,,,
param-CAWL-0008,eyelid,0008,CAWL,core,,,,,,,,
param-CAWL-0009,eyelash,0009,CAWL,core,,,,,,,,
param-CAWL-0010,pupil (of eye),0010,CAWL,core,,,,,,,,
param-CAWL-0011,nose,0011,CAWL,core,,,,,x,x,x,
param-CAWL-0012,bridge (of nose),0012,CAWL,core,,,,,,,,
param-CAWL-0013,ear,0013,CAWL,core,,,,,x,x,x,
param-CAWL-0014,cheek,0014,CAWL,core,,,,,,,,
param-CAWL-0015,mouth,0015,CAWL,core,,,,,x,x,,
param-CAWL-0016,lip,0016,CAWL,core,,,,,,,,
param-CAWL-0017,tongue,0017,CAWL,core,,,,,x,x,x,
param-CAWL-0018,tooth,0018,CAWL,core,,,,,x,x,x,
param-CAWL-0019,molar tooth,0019,CAWL,core,,,,,,,,
param-CAWL-0020,palate,0020,CAWL,core,,,,,,,,
param-CAWL-0021,jaw,0021,CAWL,core,,,,,,,,
param-CAWL-0022,chin,0022,CAWL,core,,,,,,,,
param-CAWL-0023,neck,0023,CAWL,core,,,,,x,x,,
param-CAWL-0024,nape of neck,0024,CAWL,core,,,,,,,,
param-CAWL-0025,throat,0025,CAWL,core,,,,,,,,
param-CAWL-0026,"voice box, larynx, Adam’s",0026,CAWL,core,,,,,,,,
param-CAWL-0027,hair (of head),0027,CAWL,core,,,,,x,x,,
param-CAWL-0028,beard,0028,CAWL,core,,,,,,,,
param-CAWL-0029,hair (of body),0029,CAWL,core,,,,,x,x,,
param-CAWL-0030,"tuft, lock (of hair)",0030,CAWL,core,,,,,,,,
param-CAWL-0031,shoulder,0031,CAWL,core,,,,,,,,
param-CAWL-0032,shoulder blade,0032,CAWL,core,,,,,,,,
param-CAWL-0033,chest,0033,CAWL,core,,,,,,,,
param-CAWL-0034,breast,0034,CAWL,core,,,,,x,x,x,
param-CAWL-0035,side (of body),0035,CAWL,core,,,,,,,,
param-CAWL-0036,waist,0036,CAWL,core,,,,,,,,
param-CAWL-0037,navel,0037,CAWL,core,,,,,,,x,
param-CAWL-0038,umbilical cord,0038,CAWL,core,,,,,,,,
param-CAWL-0039,abdomen (external),0039,CAWL,core,,,,,,,,
param-CAWL-0040,stomach (internal),0040,CAWL,core,,,,,,,,
param-CAWL-0041,womb,0041,CAWL,core,,,,,,,,
param-CAWL-0042,back,0042,CAWL,core,,,,,x,x,x,
param-CAWL-0043,small of back,0043,CAWL,core,,,,,,,,
param-CAWL-0044,buttock,0044,CAWL,core,,,,,,,,
param-CAWL-0045,anus,0045,CAWL,core,,,,,,,,
param-CAWL-0046,penis,0046,CAWL,core,,,,,,,,
param-CAWL-0047,testicle,0047,CAWL,core,,,,,,,,
param-CAWL-0048,vagina,0048,CAWL,core,,,,,,,,
param-CAWL-0049,clitoris,0049,CAWL,core,,,,,,,,
param-CAWL-0050,arm,0050,CAWL,core,,,,,,,x,
param-CAWL-0051,armpit,0051,CAWL,core,,,,,,,,
param-CAWL-0052,upper arm,0052,CAWL,core,,,,,,,,
param-CAWL-0053,elbow,0053,CAWL,core,,,,,,,,
param-CAWL-0054,forearm,0054,CAWL,core,,,,,,,,
param-CAWL-0055,wrist,0055,CAWL,core,,,,,,,,
param-CAWL-0056,hand,0056,CAWL,core,,,,,x,x,x,
param-CAWL-0057,fist,0057,CAWL,core,,,,,,,,
param-CAWL-0058,palm (of hand),0058,CAWL,core,,,,,,,,
param-CAWL-0059,finger,0059,CAWL,core,,,,,,,,
param-CAWL-0060,thumb,0060,CAWL,core,,,,,,,,
param-CAWL-0061,knuckle,0061,CAWL,core,,,,,,,,
param-CAWL-0062,fingernail,0062,CAWL,core,,,,,,,,
param-CAWL-0063,leg,0063,CAWL,core,,,,,,,,
param-CAWL-0064,hip,0064,CAWL,core,,,,,,,,
param-CAWL-0065,thigh,0065,CAWL,core,,,,,,,,
param-CAWL-0066,knee,0066,CAWL,core,,,,,x,x,x,
param-CAWL-0067,shin,0067,CAWL,core,,,,,,,,
param-CAWL-0068,calf of leg,0068,CAWL,core,,,,,,,,
param-CAWL-0069,ankle,0069,CAWL,core,,,,,,,,
param-CAWL-0070,foot,0070,CAWL,core,,,,,x,x,,
param-CAWL-0071,heel,0071,CAWL,core,,,,,,,,
param-CAWL-0072,sole,0072,CAWL,core,,,,,,,,
param-CAWL-0073,toe,0073,CAWL,core,,,,,,,,
param-CAWL-0074,bone,0074,CAWL,core,,,,,x,x,x,
param-CAWL-0075,bone marrow,0075,CAWL,core,,,,,,,,
param-CAWL-0076,skeleton,0076,CAWL,core,,,,,,,,
param-CAWL-0077,skull,0077,CAWL,core,,,,,,,,
param-CAWL-0078,breastbone,0078,CAWL,core,,,,,,,,
param-CAWL-0079,"spine, backbone",0079,CAWL,core,,,,,,,,
param-CAWL-0080,rib,0080,CAWL,core,,,,,,,,
param-CAWL-0081,brain,0081,CAWL,core,,,,,,,,
param-CAWL-0082,heart,0082,CAWL,core,,,,,x,x,x,
param-CAWL-0083,liver,0083,CAWL,core,,,,,x,x,x,
param-CAWL-0084,kidney,0084,CAWL,core,,,,,,,,
param-CAWL-0085,lung,0085,CAWL,core,,,,,,,,
param-CAWL-0086,intestines,0086,CAWL,core,,,,,,,,
param-CAWL-0087,bladder,0087,CAWL,core,,,,,,,,
param-CAWL-0088,gall bladder,0088,CAWL,core,,,,,,,,
param-CAWL-0089,muscle,0089,CAWL,core,,,,,,,,
param-CAWL-0090,tendon,0090,CAWL,core,,,,,,,,
param-CAWL-0091,vein,0091,CAWL,core,,,,,,,,
param-CAWL-0092,breath,0092,CAWL,core,,,,,,,,
param-CAWL-0093,saliva,0093,CAWL,core,,,,,,,,
param-CAWL-0094,phlegm,0094,CAWL,core,,,,,,,,
param-CAWL-0095,"nasal mucus, snot",0095,CAWL,core,,,,,,,,
param-CAWL-0096,earwax,0096,CAWL,core,,,,,,,,
param-CAWL-0097,tears (n),0097,CAWL,core,,,,,,,,
param-CAWL-0098,blood,0098,CAWL,core,,,,,x,x,x,
param-CAWL-0099,"bile, gall",0099,CAWL,core,,,,,,,,
param-CAWL-0100,semen,0100,CAWL,core,,,,,,,,
param-CAWL-0101,urine,0101,CAWL,core,,,,,,,,
param-CAWL-0102,"excrement, faeces",0102,CAWL,core,,,,,,,,
param-CAWL-0103,blink,0103,CAWL,core,,,,,,,,
param-CAWL-0104,wink (eye),0104,CAWL,core,,,,,,,,
param-CAWL-0105,blow nose,0105,CAWL,core,,,,,,,,
param-CAWL-0106,breathe,0106,CAWL,core,,,,,,,x,
param-CAWL-0107,yawn,0107,CAWL,core,,,,,,,,
param-CAWL-0108,snore,0108,CAWL,core,,,,,,,,
param-CAWL-0109,pant,0109,CAWL,core,,,,,,,,
param-CAWL-0110,blow (with mouth),0110,CAWL,core,,,,,,,x,
param-CAWL-0111,spit,0111,CAWL,core,,,,,,,x,
param-CAWL-0112,cough (v),0112,CAWL,core,,,,,,,,
param-CAWL-0113,belch,0113,CAWL,core,,,,,,,,
param-CAWL-0114,hiccough (n),0114,CAWL,core,,,,,,,,
param-CAWL-0115,sneeze (v),0115,CAWL,core,,,,,,,,
param-CAWL-0116,groan (with pain),0116,CAWL,core,,,,,,,,
param-CAWL-0117,grunt (from effort),0117,CAWL,core,,,,,,,,
param-CAWL-0118,palpitate (of heart),0118,CAWL,core,,,,,,,,
param-CAWL-0119,urinate,0119,CAWL,core,,,,,,,,
param-CAWL-0120,"break wind, fart",0120,CAWL,core,,,,,,,,
param-CAWL-0121,defecate,0121,CAWL,core,,,,,,,,
param-CAWL-0122,"shiver, tremble",0122,CAWL,core,,,,,,,,
param-CAWL-0123,"perspire, sweat",0123,CAWL,core,,,,,,,,
param-CAWL-0124,bleed,0124,CAWL,core,,,,,,,,
param-CAWL-0125,"coagulate, clot",0125,CAWL,core,,,,,,,,
param-CAWL-0126,(be) dizzy,0126,CAWL,core,,,,,,,,
param-CAWL-0127,faint,0127,CAWL,core,,,,,,,,
param-CAWL-0128,sleep (v),0128,CAWL,core,,,,,,,x,
param-CAWL-0129,dream (n),0129,CAWL,core,,,,,,,x,
param-CAWL-0130,wake up (intr),0130,CAWL,core,,,,,,,,
param-CAWL-0131,see,0131,CAWL,core,,,,,x,x,x,
param-CAWL-0132,notice (v),0132,CAWL,core,,,,,,,,
param-CAWL-0133,"look at, watch",0133,CAWL,core,,,,,,,,
param-CAWL-0134,hear,0134,CAWL,core,,,,,x,x,x,
param-CAWL-0135,listen,0135,CAWL,core,,,,,,,,
param-CAWL-0136,smell (v),0136,CAWL,core,,,,,,,x,
param-CAWL-0137,feel (passive),0137,CAWL,core,,,,,,,,
param-CAWL-0138,"touch, feel (active)",0138,CAWL,core,,,,,,,,
param-CAWL-0139,taste,0139,CAWL,core,,,,,,,,
param-CAWL-0140,eat,0140,CAWL,core,,,,,x,x,,
param-CAWL-0141,bite (v),0141,CAWL,core,,,,,x,x,x,
param-CAWL-0142,crunch,0142,CAWL,core,,,,,,,,
param-CAWL-0143,chew,0143,CAWL,core,,,,,,,,
param-CAWL-0144,gnaw,0144,CAWL,core,,,,,,,,
param-CAWL-0145,swallow,0145,CAWL,core,,,,,,,,
param-CAWL-0146,choke,0146,CAWL,core,,,,,,,,
param-CAWL-0147,lick,0147,CAWL,core,,,,,,,,
param-CAWL-0148,suck,0148,CAWL,core,,,,,,,,
param-CAWL-0149,drink,0149,CAWL,core,,,,,x,x,x,
param-CAWL-0150,sit,0150,CAWL,core,,,,,x,x,,
param-CAWL-0151,rise up (intr),0151,CAWL,core,,,,,,,,
param-CAWL-0152,lie down,0152,CAWL,core,,,,,,,,
param-CAWL-0153,turn round (intr),0153,CAWL,core,,,,,,,,
param-CAWL-0154,walk,0154,CAWL,core,,,,,x,x,x,
param-CAWL-0155,step (v),0155,CAWL,core,,,,,,,,
param-CAWL-0156,stumble,0156,CAWL,core,,,,,,,,
param-CAWL-0157,limp,0157,CAWL,core,,,,,,,,
param-CAWL-0158,crawl,0158,CAWL,core,,,,,,,,
param-CAWL-0159,run,0159,CAWL,core,,,,,,,,
param-CAWL-0160,swim,0160,CAWL,core,,,,,x,x,,
param-CAWL-0161,jump (v),0161,CAWL,core,,,,,,,,
param-CAWL-0162,kick,0162,CAWL,core,,,,,,,,
param-CAWL-0163,stamp (with foot),0163,CAWL,core,,,,,,,,
param-CAWL-0164,trample,0164,CAWL,core,,,,,,,,
param-CAWL-0165,wave (hand as a greeting) (v)  faire signe de la main,0165,CAWL,core,,,,,,,,
param-CAWL-0166,"indicate, point (as with the",0166,CAWL,core,,,,,,,,
param-CAWL-0167,clap (hands),0167,CAWL,core,,,,,,,,
param-CAWL-0168,slap (v),0168,CAWL,core,,,,,,,,
param-CAWL-0169,stand,0169,CAWL,core,,,,,x,x,,
param-CAWL-0170,straddle,0170,CAWL,core,,,,,,,,
param-CAWL-0171,lean against (intr),0171,CAWL,core,,,,,,,,
param-CAWL-0172,"bend down, stoop",0172,CAWL,core,,,,,,,,
param-CAWL-0173,bow (as in greeting),0173,CAWL,core,,,,,,,,
param-CAWL-0174,(be) seated,0174,CAWL,core,,,,,,,,
param-CAWL-0175,squat,0175,CAWL,core,,,,,,,,
param-CAWL-0176,kneel,0176,CAWL,core,,,,,,,,
param-CAWL-0177,(be) lying down,0177,CAWL,core,,,,,,,,
param-CAWL-0178,(be) hot (of person),0178,CAWL,core,,,,,,,,
param-CAWL-0179,"(be) hungry, hunger (v)",0179,CAWL,core,,,,,,,,
param-CAWL-0180,(be) sated,0180,CAWL,core,,,,,,,,
param-CAWL-0181,"(be) thirsty, thirst (v)",0181,CAWL,core,,,,,,,,
param-CAWL-0182,(be) drunk,0182,CAWL,core,,,,,,,,
param-CAWL-0183,(be) tired,0183,CAWL,core,,,,,,,,
param-CAWL-0184,(be) sleepy,0184,CAWL,core,,,,,,,,
param-CAWL-0185,rest,0185,CAWL,core,,,,,,,,
param-CAWL-0186,"(be) awake, alert",0186,CAWL,core,,,,,,,,
param-CAWL-0187,wrinkle (on skin),0187,CAWL,core,,,,,,,,
param-CAWL-0188,pimple,0188,CAWL,core,,,,,,,,
param-CAWL-0189,hump (of hunchback),0189,CAWL,core,,,,,,,,
